id,name,email,date_of_birth,signup_date,subscription_status,age
3,bob johnson,bob.johnson@example.com,1977-03-30,2018-12-12,inactive,48
2,jane smith,jane.smith@example.com,1990-05-22,2019-06-17,active,34
69051,allen alvarez,lisagillespie@example.com,2000-08-22,2020-01-01,active,24
83557,andrew mata,jharrison@example.org,1980-11-13,2020-01-01,inactive,44
34184,tina barber,ebyrd@example.net,1985-09-15,2020-01-01,inactive,39
41337,daniel clark,walkeraaron@example.net,1938-10-21,2020-01-01,active,86
35550,danielle hunt,iroberts@example.net,1995-03-24,2020-01-01,active,30
26774,maria garcia,daycarl@example.net,1962-12-22,2020-01-01,inactive,62
38736,belinda bailey,williamrobinson@example.org,1947-04-16,2020-01-01,active,77
39706,chris griffin,troy47@example.org,1975-07-16,2020-01-01,inactive,49
12061,jessica carrillo,brownrebekah@example.org,1991-06-04,2020-01-01,active,33
34687,eric hobbs,santanadenise@example.net,1972-12-22,2020-01-01,active,52
31368,erika phillips,holly47@example.com,1971-04-18,2020-01-01,active,53
21994,kelly jones,aprilrussell@example.org,2003-10-30,2020-01-01,inactive,21
47908,jennifer day,benjamin65@example.com,1967-01-20,2020-01-01,active,58
82569,stephanie johnson,hardyalexander@example.org,2005-11-24,2020-01-01,active,19
11340,thomas moore,poncegregory@example.org,2002-02-01,2020-01-01,inactive,23
42198,shannon parsons,fschwartz@example.com,1934-02-11,2020-01-01,inactive,91
42115,luke copeland,jharper@example.org,1937-07-16,2020-01-01,inactive,87
73921,matthew roberts,floresarthur@example.net,1948-09-21,2020-01-01,active,76
2788,tracey lawson,melissasmith@example.com,1948-06-17,2020-01-01,inactive,76
3413,molly mann,yreed@example.org,1948-02-23,2020-01-01,inactive,77
22627,harold davis,emilyalexander@example.org,1995-08-09,2020-01-01,inactive,29
435,mark yoder,william81@example.net,1979-03-19,2020-01-01,active,46
91594,james gillespie,daniel51@example.com,1934-10-29,2020-01-01,inactive,90
48277,maria davila,jpatterson@example.com,1991-05-16,2020-01-01,active,33
57189,jonathan rodriguez,rebeccadavis@example.net,1969-11-24,2020-01-01,active,55
30026,brady moore,gomezdawn@example.org,1946-07-30,2020-01-01,inactive,78
68216,debbie miller,travissilva@example.com,1958-12-12,2020-01-01,inactive,66
5696,jennifer willis,vyoung@example.org,1934-07-11,2020-01-01,inactive,90
29330,michael kent,jenniferlee@example.net,1937-09-29,2020-01-01,inactive,87
1058,william white,ngonzalez@example.net,1987-12-30,2020-01-02,inactive,37
90832,jerry knight,stanleyjessica@example.com,1983-10-17,2020-01-02,inactive,41
62890,tyler tucker,kristinbowen@example.net,1937-03-14,2020-01-02,inactive,88
782,kathryn oneill,kelly86@example.org,1983-04-28,2020-01-02,active,41
10957,ebony leon,hbowman@example.com,1983-07-07,2020-01-02,inactive,41
9789,theresa cummings,bakergregory@example.com,1991-12-09,2020-01-02,inactive,33
8952,heather greer,james74@example.net,1986-02-02,2020-01-02,active,39
29790,beverly hubbard,emilywells@example.net,1987-10-13,2020-01-02,active,37
61445,tracy murphy,jennifer95@example.org,1967-04-19,2020-01-02,inactive,57
53118,janet graham,calebsilva@example.org,1963-04-17,2020-01-02,active,61
2560,kristi bates,castrochristopher@example.org,1965-08-25,2020-01-02,active,59
14037,brandon miller,angel57@example.org,1980-03-10,2020-01-02,active,45
4231,mr. christopher johnson,michaeljohnson@example.com,1969-08-02,2020-01-02,inactive,55
51655,james becker,sarah63@example.org,1992-01-16,2020-01-02,active,33
57734,cory sanchez,smithalexander@example.com,1941-10-23,2020-01-02,active,83
46048,victoria mathews,mirandaricky@example.com,1960-07-22,2020-01-02,active,64
8742,evelyn thompson,carrjohn@example.org,1947-07-11,2020-01-02,inactive,77
45924,george newman,diane77@example.net,1975-02-06,2020-01-02,active,50
39296,annette thornton,toni53@example.com,1987-11-10,2020-01-02,active,37
17155,reginald bradford,williamlittle@example.net,1952-06-09,2020-01-02,active,72
89109,elizabeth dunn,smithnathan@example.com,1975-03-17,2020-01-02,active,50
63038,michael peterson,denisehowell@example.com,2001-03-26,2020-01-02,inactive,24
56668,aaron espinoza,courtney85@example.net,2005-01-20,2020-01-02,active,20
24809,lauren garrison,ldavid@example.net,1969-04-29,2020-01-02,active,55
89411,heather jenkins,bennettrachel@example.org,1997-07-25,2020-01-02,inactive,27
9535,jamie campbell,ataylor@example.net,1934-02-20,2020-01-02,inactive,91
23664,ashley robinson,stephanie83@example.org,1940-07-26,2020-01-03,active,84
75740,stephanie bailey,timothylyons@example.org,1963-04-23,2020-01-03,inactive,61
79543,jordan maxwell,phillipbarry@example.net,1988-05-11,2020-01-03,inactive,36
55670,timothy benjamin,barbaralee@example.com,2004-09-10,2020-01-03,inactive,20
3721,danielle johnston,natashahamilton@example.org,1972-02-06,2020-01-03,inactive,53
52946,james miller,stephenreyes@example.com,1968-08-05,2020-01-03,inactive,56
86567,kayla cortez,scottroberts@example.com,1994-10-06,2020-01-03,inactive,30
79486,charles martinez,christinegrant@example.org,1947-01-27,2020-01-03,active,78
78441,jason thomas,vickithompson@example.org,1959-04-25,2020-01-03,inactive,65
35680,shelby glenn,albert54@example.com,1955-01-02,2020-01-03,active,70
22552,martha goodman,russell97@example.net,1986-09-28,2020-01-03,inactive,38
18642,dawn archer,ewilliams@example.com,2000-11-20,2020-01-03,active,24
10677,jennifer garrison,tina95@example.com,1949-12-15,2020-01-03,active,75
18233,gary sanchez,jacobhammond@example.net,1967-08-04,2020-01-03,active,57
22193,linda lewis,rlewis@example.org,1958-11-21,2020-01-03,active,66
20833,chad willis,kfarmer@example.net,2000-07-12,2020-01-03,inactive,24
33384,david branch,ocastillo@example.com,1956-05-14,2020-01-03,inactive,68
23898,jessica nicholson,rodriguezjohn@example.org,2003-01-19,2020-01-03,active,22
84369,elizabeth peterson,edwardslance@example.net,1997-03-20,2020-01-03,active,28
876,william hardin,brandonsullivan@example.com,1955-01-20,2020-01-03,active,70
12018,antonio smith,adamward@example.net,1953-12-11,2020-01-03,inactive,71
9485,amy martinez,karl98@example.com,1984-01-07,2020-01-03,inactive,41
50928,chelsea dyer,tommy66@example.com,1939-06-07,2020-01-03,inactive,85
75008,kathryn mitchell,cisnerosmatthew@example.net,1948-06-30,2020-01-03,active,76
64474,christopher gardner,randall83@example.org,1992-03-27,2020-01-03,inactive,33
48587,angela boyle,landerson@example.org,1999-12-03,2020-01-04,inactive,25
22758,ryan thornton,james30@example.org,1973-10-01,2020-01-04,active,51
47797,amanda davis,darren70@example.com,1970-11-05,2020-01-04,inactive,54
79496,joseph martinez,jeff39@example.net,1950-08-18,2020-01-04,inactive,74
24662,philip shelton,rford@example.com,1937-07-27,2020-01-04,active,87
92027,tammy cruz,karen68@example.org,1986-01-17,2020-01-04,active,39
66084,angela hall,jessica11@example.org,2004-05-29,2020-01-04,active,20
83600,tracey aguilar,whiteheaddebbie@example.net,1989-05-02,2020-01-04,active,35
25890,zachary allen,aadams@example.com,1990-11-04,2020-01-04,active,34
65093,caitlin green,othompson@example.net,1969-02-12,2020-01-04,active,56
34509,lisa lara,melissacoleman@example.org,1987-05-07,2020-01-04,inactive,37
55204,cheyenne bowman,codyhenderson@example.net,1998-03-18,2020-01-04,inactive,27
19176,kristen evans,payneshelia@example.net,1959-08-09,2020-01-04,active,65
2400,aaron davis,bushtroy@example.org,1997-03-15,2020-01-04,inactive,28
